oa_code,All people aged 3 and over,Speaks English very well,Speaks English well,Does not speak English well,Does not speak English at all
S00089673,100,81,18,1,0
S00089674,133,118,14,1,0
S00089675,133,125,5,3,0
S00089676,70,65,5,0,0
S00089677,118,96,11,8,3
S00089678,66,50,9,6,1
S00089679,136,108,21,6,1
S00089680,116,96,20,0,0
S00089681,145,130,11,4,0
S00089682,62,54,7,0,1
S00089683,78,73,5,0,0
S00089684,75,70,3,2,0
S00089685,117,98,19,0,0
S00089686,63,62,1,0,0
S00089687,79,65,11,3,0
S00089688,96,87,8,1,0
S00089689,58,51,3,1,3
S00089690,148,134,12,2,0
S00089691,128,115,12,1,0
S00089692,58,51,6,1,0
S00089693,63,53,6,4,0
S00089694,111,98,12,0,1
S00089695,117,108,8,1,0
S00089696,126,115,8,2,1
S00089697,80,69,11,0,0
S00089698,100,96,4,0,0
S00089699,71,64,7,0,0
S00089700,114,106,6,2,0
S00089701,81,73,7,1,0
S00089702,69,56,11,0,2
S00089703,137,126,10,1,0
S00089704,114,107,5,2,0
S00089705,111,101,8,1,1
S00089706,132,114,15,3,0
S00089707,95,83,7,5,0
S00089708,57,53,4,0,0
S00089709,92,92,0,0,0
S00089710,129,114,15,0,0
S00089711,138,113,22,3,0
S00089712,112,103,6,2,1
S00089713,103,97,6,0,0
S00089714,146,138,6,2,0
S00089715,101,93,8,0,0
S00089716,128,109,19,0,0
S00089717,125,111,12,2,0
S00089718,159,148,10,1,0
S00089719,183,167,12,3,1
S00089720,162,143,8,9,2
S00089721,167,142,17,5,3
S00089722,91,85,5,1,0
S00089723,58,52,6,0,0
S00089724,82,74,8,0,0
S00089725,91,85,6,0,0
S00089726,116,103,10,3,0
S00089727,98,89,8,1,0
S00089728,90,84,5,1,0
S00089729,142,135,6,1,0
S00089730,78,78,0,0,0
S00089731,108,102,6,0,0
S00089732,157,150,7,0,0
S00089733,98,88,9,1,0
S00089734,90,89,1,0,0
S00089735,74,70,4,0,0
S00089736,80,76,3,1,0
S00089737,84,69,10,4,1
S00089738,69,62,7,0,0
S00089739,89,80,7,2,0
S00089740,122,109,10,3,0
S00089741,102,93,8,1,0
S00089742,163,136,20,5,2
S00089743,160,149,11,0,0
S00089744,78,74,4,0,0
S00089745,128,118,8,2,0
S00089746,116,109,7,0,0
S00089747,95,88,7,0,0
S00089748,112,111,1,0,0
S00089749,59,57,1,1,0
S00089750,102,87,13,2,0
S00089751,107,90,8,5,4
S00089752,108,97,10,1,0
S00089753,132,114,14,3,1
S00089754,117,106,6,5,0
S00089755,64,60,4,0,0
S00089756,73,67,4,2,0
S00089757,115,102,9,4,0
S00089758,108,96,12,0,0
S00089759,168,151,14,3,0
S00089760,79,66,11,2,0
S00089761,56,54,2,0,0
S00089762,113,100,13,0,0
S00089763,105,103,1,1,0
S00089764,124,117,5,1,1
S00089765,136,128,7,1,0
S00089766,99,87,9,2,1
S00089767,63,56,4,3,0
S00089768,59,56,1,2,0
S00089769,54,52,2,0,0
S00089770,100,92,6,2,0
S00089771,94,84,9,1,0
S00089772,91,85,4,2,0
S00089773,107,91,12,4,0
S00089774,77,67,8,2,0
S00089775,71,68,2,1,0
S00089776,90,77,8,4,1
S00089777,90,79,6,5,0
S00089778,131,114,12,4,1
S00089779,92,82,6,4,0
S00089780,70,61,8,1,0
S00089781,89,78,10,1,0
S00089782,70,65,5,0,0
S00089783,79,69,10,0,0
S00089784,58,45,8,5,0
S00089785,144,96,27,16,5
S00089786,99,71,19,7,2
S00089787,78,76,1,1,0
S00089788,65,59,6,0,0
S00089789,110,93,16,1,0
S00089790,277,242,28,7,0
S00089791,64,49,13,2,0
S00089792,73,70,3,0,0
S00089793,74,71,3,0,0
S00089794,67,59,7,1,0
S00089795,146,117,19,9,1
S00089796,118,97,18,2,1
S00089797,90,83,7,0,0
S00089798,92,79,11,2,0
S00089799,138,132,6,0,0
S00089800,105,89,10,5,1
S00089801,83,70,12,1,0
S00089802,174,151,20,3,0
S00089803,78,68,9,0,1
S00089804,120,103,16,1,0
S00089805,73,62,11,0,0
S00089806,111,100,9,2,0
S00089807,78,66,11,1,0
S00089808,80,76,3,0,1
S00089809,88,67,16,4,1
S00089810,66,62,3,1,0
S00089811,76,57,18,1,0
S00089812,95,78,17,0,0
S00089813,164,136,24,4,0
S00089814,68,58,8,2,0
S00089815,93,78,15,0,0
S00089816,117,85,28,4,0
S00089817,118,98,20,0,0
S00089818,90,75,13,1,1
S00089819,160,137,19,2,2
S00089820,119,91,23,5,0
S00089821,111,91,16,4,0
S00089822,100,90,10,0,0
S00089823,104,94,9,0,1
S00089824,161,147,12,2,0
S00089825,146,129,16,1,0
S00089826,108,91,16,0,1
S00089827,121,103,17,1,0
S00089828,73,55,16,2,0
S00089829,89,76,11,2,0
S00089830,116,106,8,1,1
S00089831,114,102,12,0,0
S00089832,84,74,9,1,0
S00089833,136,119,16,1,0
S00089834,86,77,8,1,0
S00089835,86,79,7,0,0
S00089836,161,140,16,3,2
S00089837,144,124,15,4,1
S00089838,140,121,17,1,1
S00089839,83,75,8,0,0
S00089840,80,64,13,3,0
S00089841,129,106,19,2,2
S00089842,81,76,5,0,0
S00089843,134,116,14,4,0
S00089844,110,89,19,2,0
S00089845,131,118,12,0,1
S00089846,83,65,14,4,0
S00089847,77,68,9,0,0
S00089848,116,99,15,2,0
S00089849,131,121,10,0,0
S00089850,142,99,41,1,1
S00089851,80,64,15,1,0
S00089852,97,85,11,1,0
S00089853,120,91,24,5,0
S00089854,95,76,19,0,0
S00089855,118,99,14,5,0
S00089856,145,128,17,0,0
S00089857,113,107,5,1,0
S00089858,85,74,11,0,0
S00089859,108,102,6,0,0
S00089860,95,80,10,4,1
S00089861,82,63,12,7,0
S00089862,118,101,16,0,1
S00089863,152,131,17,3,1
S00089864,165,150,9,5,1
